node,graph_nr,metric_name,_metric_value,save_name
17,0.0,degree_centrality,0.15151515151515152,sequential_llama3.1-70b
65,0.0,degree_centrality,0.4040404040404041,sequential_llama3.1-70b
93,0.0,degree_centrality,0.08080808080808081,sequential_llama3.1-70b
73,0.0,degree_centrality,0.17171717171717174,sequential_llama3.1-70b
32,0.0,degree_centrality,0.13131313131313133,sequential_llama3.1-70b
10,0.0,degree_centrality,0.15151515151515152,sequential_llama3.1-70b
85,0.0,degree_centrality,0.06060606060606061,sequential_llama3.1-70b
3,0.0,degree_centrality,0.05050505050505051,sequential_llama3.1-70b
59,0.0,degree_centrality,0.26262626262626265,sequential_llama3.1-70b
0,0.0,degree_centrality,0.05050505050505051,sequential_llama3.1-70b
24,0.0,degree_centrality,0.23232323232323235,sequential_llama3.1-70b
45,0.0,degree_centrality,0.17171717171717174,sequential_llama3.1-70b
36,0.0,degree_centrality,0.27272727272727276,sequential_llama3.1-70b
99,0.0,degree_centrality,0.26262626262626265,sequential_llama3.1-70b
53,0.0,degree_centrality,0.19191919191919193,sequential_llama3.1-70b
92,0.0,degree_centrality,0.20202020202020204,sequential_llama3.1-70b
52,0.0,degree_centrality,0.05050505050505051,sequential_llama3.1-70b
97,0.0,degree_centrality,0.04040404040404041,sequential_llama3.1-70b
87,0.0,degree_centrality,0.12121212121212122,sequential_llama3.1-70b
18,0.0,degree_centrality,0.10101010101010102,sequential_llama3.1-70b
80,0.0,degree_centrality,0.10101010101010102,sequential_llama3.1-70b
77,0.0,degree_centrality,0.25252525252525254,sequential_llama3.1-70b
26,0.0,betweenness_centrality,0.012344219617629519,sequential_llama3.1-70b
49,0.0,betweenness_centrality,0.005556829251346309,sequential_llama3.1-70b
78,0.0,betweenness_centrality,0.005301257565546742,sequential_llama3.1-70b
31,0.0,betweenness_centrality,0.015042171433547193,sequential_llama3.1-70b
20,0.0,betweenness_centrality,0.000470075867822106,sequential_llama3.1-70b
4,0.0,betweenness_centrality,0.002092285569054556,sequential_llama3.1-70b
5,0.0,betweenness_centrality,0.003131518468297942,sequential_llama3.1-70b
75,0.0,betweenness_centrality,0.0006763405192902503,sequential_llama3.1-70b
81,0.0,betweenness_centrality,0.012528578640651081,sequential_llama3.1-70b
13,0.0,betweenness_centrality,0.010974794657431182,sequential_llama3.1-70b
11,0.0,betweenness_centrality,0.01192049695470389,sequential_llama3.1-70b
96,0.0,betweenness_centrality,0.01723414942190345,sequential_llama3.1-70b
90,0.0,betweenness_centrality,0.008597045901213386,sequential_llama3.1-70b
61,0.0,betweenness_centrality,0.01829718187208028,sequential_llama3.1-70b
27,0.0,betweenness_centrality,0.00014125638724594178,sequential_llama3.1-70b
