seed,duration,num_tries,num_input_toks,num_output_toks
0,355.1487216949463,100,106988,1280
1,416.3141710758209,100,106988,1541
2,410.36945104599,100,106988,1465
3,411.6666634082794,100,106988,1517
4,409.95952916145325,100,106988,1440
5,405.2579185962677,100,106988,1280
6,416.78059792518616,100,106988,1962
7,407.76701831817627,100,106988,1283
8,417.11013650894165,100,106988,1742
9,405.9945824146271,100,106988,1486
10,418.0150020122528,100,106988,1352
